city,date,weathers
Rochester,10/15/20,15
Rochester,11/15/20,8
Rochester,12/15/20,-3
East Lansing,1/15/20,0
East Lansing,2/15/20,-7
East Lansing,3/15/20,1
East Lansing,4/15/20,2
East Lansing,5/15/20,19
East Lansing,6/15/20,16
East Lansing,7/15/20,23
East Lansing,8/15/20,23
East Lansing,9/15/20,15
East Lansing,10/15/20,10
East Lansing,11/15/20,5
East Lansing,12/15/20,-4
College Park,1/15/20,11
College Park,2/15/20,1
College Park,3/15/20,8
College Park,4/15/20,8
College Park,5/15/20,24
College Park,6/15/20,20
College Park,7/15/20,29
College Park,8/15/20,23
College Park,9/15/20,20
College Park,10/15/20,19
College Park,11/15/20,13
College Park,12/15/20,2
Cleveland,1/15/20,4
Cleveland,2/15/20,-5
Cleveland,3/15/20,1
Cleveland,4/15/20,3
Cleveland,5/15/20,18
Cleveland,6/15/20,19
Cleveland,7/15/20,25
Cleveland,8/15/20,21
Cleveland,9/15/20,18
Cleveland,10/15/20,14
Cleveland,11/15/20,9
Cleveland,12/15/20,-2
College Station,1/15/20,21
College Station,2/15/20,11
College Station,3/15/20,23
College Station,4/15/20,13
College Station,5/15/20,26
College Station,6/15/20,27
College Station,7/15/20,31
College Station,8/15/20,33
College Station,9/15/20,27
College Station,10/15/20,25
College Station,11/15/20,18
College Station,12/15/20,11
Gainesville,1/15/20,23
Gainesville,2/15/20,15
Gainesville,3/15/20,25
Gainesville,4/15/20,21
Gainesville,5/15/20,25
Gainesville,6/15/20,28
Gainesville,7/15/20,31
Gainesville,8/15/20,31
Gainesville,9/15/20,27
Gainesville,10/15/20,27
Gainesville,11/15/20,24
Gainesville,12/15/20,17
Minneapolis,1/15/20,-12
Minneapolis,2/15/20,-4
Minneapolis,3/15/20,2
Minneapolis,4/15/20,0
Minneapolis,5/15/20,14
Minneapolis,6/15/20,20
Minneapolis,7/15/20,25
Minneapolis,8/15/20,21
Minneapolis,9/15/20,24
Minneapolis,10/15/20,6
Minneapolis,11/15/20,-1
Minneapolis,12/15/20,-5
Hanover,1/15/20,11
Hanover,2/15/20,8
Hanover,3/15/20,9
Hanover,4/15/20,9
Hanover,5/15/20,9
Hanover,6/15/20,19
Hanover,7/15/20,15
Hanover,8/15/20,23
Hanover,9/15/20,24
Hanover,10/15/20,9
Hanover,11/15/20,13
Hanover,12/15/20,8
Phoenix,1/15/20,18
Phoenix,2/15/20,19
Phoenix,3/15/20,21
