Name	City	Status	Research Output	Student/Faculty Ratio	Scholarships	International Students	Size	Total Faculty	URL
Southern Methodist University	Dallas	Private	Very High	10	Yes	1,213	M	969	https://www.topuniversities.com/universities/southern-methodist-university
Texas Tech University	Lubbock	Public	High	19		2,196	XL	1,772	https://www.topuniversities.com/universities/texas-tech-university
The University of Alabama	Tuscaloosa	Public	Very High	20		1,283	XL	1,694	https://www.topuniversities.com/universities/university-alabama
University of Hartford	West Hartford	Private	Medium	11		412	M	517	https://www.topuniversities.com/universities/university-hartford
University of Mississippi	Oxford	Public	Very High	10	Yes	628	L	2,017	https://www.topuniversities.com/universities/university-mississippi
University of Missouri, Kansas City	Kansas City	Public	Very High	12		817	M	841	https://www.topuniversities.com/universities/university-missouri-kansas-city
University of New Hampshire	Durham	Public	Very High	17		768	L	862	https://www.topuniversities.com/universities/university-new-hampshire
University of Texas at San Antonio	San Antonio	Public	Very High	22		775	L	1,182	https://www.topuniversities.com/universities/university-texas-san-antonio
University of Tulsa	Tulsa	Private	Very High	11	Yes	550	S	376	https://www.topuniversities.com/universities/university-tulsa
University of Wisconsin Milwaukee	Milwaukee	Public	Very High	16		1,067	L	1,336	https://www.topuniversities.com/universities/university-wisconsin-milwaukee
University of Wyoming	Laramie	Public	Very High	12	Yes	564	M	904	https://www.topuniversities.com/universities/university-wyoming
West Virginia University	Morgantown	Public	Very High	15	Yes	1,807	L	1,605	https://www.topuniversities.com/universities/west-virginia-university
Baylor University	Waco	Private	Very High	13	Yes	777	L	1,294	https://www.topuniversities.com/universities/baylor-university
Brigham Young University	Provo	Private	Very High	21		1,163	XL	1,512	https://www.topuniversities.com/universities/brigham-young-university
Florida Atlantic University - Boca Raton	Boca Raton	Public	High	19		998	L	1,139	https://www.topuniversities.com/universities/florida-atlantic-university-boca-raton
Kent State University	Kent	Public	Very High	19	Yes	1,465	L	1,252	https://www.topuniversities.com/universities/kent-state-university
Marquette University	Milwaukee	Private	Very High	12	Yes	367	M	913	https://www.topuniversities.com/universities/marquette-university
Miami University	Oxford	Public	High	17		2,260	L	1,062	https://www.topuniversities.com/universities/miami-university
Mississippi State University	Starkville	Public	Very High	18		730	L	1,103	https://www.topuniversities.com/universities/mississippi-state-university
Northern Arizona University	Flagstaff	Public	High	22	Yes	1,162	L	1,158	https://www.topuniversities.com/universities/northern-arizona-university
Ohio University	Athens	Public	High	20		977	L	1,169	https://www.topuniversities.com/universities/ohio-university
Portland State University	Portland	Public	Very High	17		1,230	L	1,091	https://www.topuniversities.com/universities/portland-state-university
Rochester Institute of Technology (RIT)	Rochester	Private	High	12	Yes	1,586	L	1,136	https://www.topuniversities.com/universities/rochester-institute-technology-rit
San Diego State University	San Diego 	Public	Very High	25	Yes	2,092	XL	1,262	https://www.topuniversities.com/universities/san-diego-state-university
The University of Texas at Arlington	Arlington	Public	Very High	22		4,106	XL	1,481	https://www.topuniversities.com/universities/university-texas-arlington
University of Arkansas Fayetteville	Fayetteville	Public	Very High	18	Yes	1,134	L	1,364	https://www.topuniversities.com/universities/university-arkansas-fayetteville
University of Montana Missoula	Missoula 	Public	Very High	14		190	M	648	https://www.topuniversities.com/universities/university-montana-missoula
University of North Carolina at Charlotte	Charlotte	Public	Very High	19		1,661	L	1,303	https://www.topuniversities.com/universities/university-north-carolina-charlotte
University of North Texas	Denton	Public	High	23	Yes	2,420	XL	1,395	https://www.topuniversities.com/universities/university-north-texas
University of Rhode Island	Kingston	Public	High	17		417	L	910	https://www.topuniversities.com/universities/university-rhode-island
University of San Diego	San Diego	Private	High	12	Yes	638	M	647	https://www.topuniversities.com/universities/university-san-diego
University of San Francisco	San Francisco	Private	High	14	Yes	1,419	M	696	https://www.topuniversities.com/universities/university-san-francisco
University of South Alabama (USA)	Mobile	Public	High	13		287	L	939	https://www.topuniversities.com/universities/university-south-alabama-usa
University of Texas El Paso	El Paso	Public	Very High	20		1,351	L	922	https://www.topuniversities.com/universities/university-texas-el-paso
University of the Pacific	Stockton	Private	High	10	Yes	389	M	560	https://www.topuniversities.com/universities/university-pacific
Utah State University	Logan	Public	Very High	19		331	L	1,053	https://www.topuniversities.com/universities/utah-state-university
Western Michigan University	Kalamazoo	Public	High	16		1,664	L	1,144	https://www.topuniversities.com/universities/western-michigan-university
Indiana State University	Terre Haute	Public	High	18	Yes	340	M	537	https://www.topuniversities.com/universities/indiana-state-university
